Year,State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
2013,Alabama,"4,807",891,155,18.5,3.3
2013,Alaska,696,67,25,9.7,3.5
2013,Arizona,"6,532","1,163",265,17.8,4.1
2013,Arkansas,"2,852",395,76,13.9,2.6
2013,California,"38,210","5,754",579,15.1,1.5
2013,Colorado,"5,303",569,118,10.7,2.3
2013,Connecticut,"3,637",396,97,10.9,2.6
2013,Delaware,912,102,28,11.2,3
2013,District of Columbia,647,150,28,23.2,4.3
2013,Florida,"19,460","2,882",410,14.8,2.1
2013,Georgia,"9,848","1,825",283,18.5,3
2013,Hawaii,"1,338",142,39,10.6,3
2013,Idaho,"1,610",200,59,12.4,3.6
2013,Illinois,"12,650","1,720",253,13.6,2
2013,Indiana,"6,557","1,083",227,16.5,3.5
2013,Iowa,"3,076",405,69,13.2,2.3
2013,Kansas,"2,760",315,115,11.4,4.1
2013,Kentucky,"4,501",991,174,22,3.9
2013,Louisiana,"4,534",963,186,21.2,4.1
2013,Maine,"1,330",151,36,11.4,2.6
2013,Maryland,"5,946",623,145,10.5,2.5
2013,Massachusetts,"6,735",818,247,12.1,3.6
2013,Michigan,"10,070","1,277",260,12.7,2.6
2013,Minnesota,"5,349",589,138,11,2.6
2013,Mississippi,"2,895",554,166,19.1,5.8
2013,Missouri,"5,955","1,041",224,17.5,3.8
2013,Montana,980,103,44,10.5,4.4
2013,Nebraska,"1,868",196,49,10.5,2.6
2013,Nevada,"2,774",401,99,14.5,3.6
2013,New Hampshire,"1,301",71,21,5.5,1.6
2013,New Jersey,"8,728",861,197,9.9,2.3
2013,New Mexico,"2,079",535,118,25.8,5.8
2013,New York,"19,340","3,337",484,17.3,2.5
2013,North Carolina,"9,672","1,419",316,14.7,3.3
2013,North Dakota,716,94,25,13.2,3.5
2013,Ohio,"11,280","1,684",286,14.9,2.5
2013,Oklahoma,"3,697",785,207,21.2,5.6
2013,Oregon,"3,969",556,132,14,3.3
2013,Pennsylvania,"12,800","1,432",250,11.2,2
2013,Rhode Island,"1,032",96,30,9.3,2.8
2013,South Carolina,"4,676",904,176,19.3,3.8
2013,South Dakota,827,110,33,13.3,4.1
2013,Tennessee,"6,272",972,227,15.5,3.6
2013,Texas,"26,200","4,422",517,16.9,2
2013,Utah,"2,923",357,82,12.2,2.8
2013,Vermont,629,43,16,6.8,2.6
2013,Virginia,"8,230",805,191,9.8,2.3
2013,Washington,"6,877",836,163,12.2,2.3
2013,West Virginia,"1,805",358,84,19.8,4.6
2013,Wisconsin,"5,615",756,171,13.5,3.1
2013,Wyoming,592,68,18,11.4,3.1
2014,Alabama,"4,765",848,87,17.8,1.8
2014,Alaska,694,82,13,11.9,2
2014,Arizona,"6,657","1,409",125,21.2,1.8
2014,Arkansas,"2,891",532,72,18.4,2.5
2014,California,"38,670","6,112",359,15.8,1
2014,Colorado,"5,376",661,118,12.3,2.1
2014,Connecticut,"3,577",308,72,8.6,2
2014,Delaware,929,103,16,11,1.6
2014,District of Columbia,657,125,15,19,2.1
2014,Florida,"19,690","3,282",247,16.7,1.3
2014,Georgia,"9,948","1,676",151,16.8,1.5
2014,Hawaii,"1,365",147,26,10.8,1.8
2014,Idaho,"1,606",199,36,12.4,2.3
2014,Illinois,"12,770","1,756",183,13.7,1.5
2014,Indiana,"6,470",948,140,14.6,2.1
2014,Iowa,"3,078",317,54,10.3,1.8
2014,Kansas,"2,851",345,51,12.1,1.8
2014,Kentucky,"4,299",861,114,20,2.6
2014,Louisiana,"4,550","1,049",87,23.1,2
2014,Maine,"1,300",190,33,14.6,2.5
