state,population 18-24 years,Bachelor degree or higher
Alabama,"488,930","41,764"
Alaska,"69,612","3,954"
Arizona,"699,860","71,372"
Arkansas,"289,554","27,010"
California,"3,738,836","456,124"
Colorado,"546,720","78,577"
Connecticut,"347,650","61,802"
Delaware,"86,569","8,981"
District of Columbia,"61,935","18,321"
Florida,"1,819,253","201,057"
Georgia,"1,051,160","112,737"
Hawaii,"122,741","12,694"
Idaho,"187,034","13,605"
Illinois,"1,190,741","184,957"
Indiana,"674,851","75,655"
Iowa,"327,316","38,381"
Kansas,"307,990","35,737"
Kentucky,"424,346","45,254"
Louisiana,"436,823","37,691"
Maine,"110,172","13,200"
Maryland,"541,318","86,816"
Massachusetts,"697,088","140,604"
Michigan,"970,018","116,575"
Minnesota,"513,816","76,154"
Mississippi,"299,448","22,126"
Missouri,"580,838","68,360"
Montana,"102,293","11,292"
Nebraska,"195,219","26,465"
Nevada,"260,638","18,398"
New Hampshire,"126,069","17,567"
New Jersey,"806,499","151,164"
New Mexico,"205,077","14,804"
New York,"1,844,128","343,691"
North Carolina,"1,014,214","119,462"
North Dakota,"87,885","12,926"
Ohio,"1,083,657","123,297"
Oklahoma,"398,778","32,973"
Oregon,"374,300","39,068"
Pennsylvania,"1,196,563","163,498"
Rhode Island,"114,642","16,561"
South Carolina,"485,502","50,249"
South Dakota,"84,743","9,674"
Tennessee,"638,580","72,446"
Texas,"2,936,266","308,720"
Utah,"387,893","28,550"
Vermont,"67,966","8,872"
Virginia,"828,543","117,493"
Washington,"678,238","88,344"
West Virginia,"161,654","16,041"
Wisconsin,"565,156","73,676"
Wyoming,"53,774","4,563"
