year,state,U-4
2013,Alabama,7.6
2013,Alaska,7.6
2013,Arizona,7.6
2013,Arkansas,6.1
2013,California,8
2013,Colorado,5.1
2013,Connecticut,7.2
2013,Delaware,6.5
2013,District of Columbia,8.3
2013,Florida,6.8
2013,Georgia,7.9
2013,Hawaii,4.7
2013,Idaho,4.8
2013,Illinois,7.4
2013,Indiana,6.5
2013,Iowa,4.8
2013,Kansas,4.8
2013,Kentucky,6.8
2013,Louisiana,6.9
2013,Maine,6.2
2013,Maryland,6.2
2013,Massachusetts,6.1
2013,Michigan,7.6
2013,Minnesota,4.3
2013,Mississippi,8.4
2013,Missouri,6.8
2013,Montana,4.9
2013,Nebraska,3.5
2013,Nevada,8.4
2013,New Hampshire,4.5
2013,New Jersey,7.1
2013,New Mexico,7.6
2013,New York,6.9
2013,North Carolina,6.8
2013,North Dakota,3
2013,Ohio,6
2013,Oklahoma,5
2013,Oregon,7.4
2013,Pennsylvania,6.2
2013,Rhode Island,8.1
2013,South Carolina,7.1
2013,South Dakota,3.7
2013,Tennessee,7.1
2013,Texas,5.4
2013,Utah,4.2
2013,Vermont,4.5
2013,Virginia,5.5
2013,Washington,6.6
2013,West Virginia,7.1
2013,Wisconsin,5.8
2013,Wyoming,4.5
2014,Alabama,7.6
2014,Alaska,7.6
2014,Arizona,7.6
2014,Arkansas,6.1
2014,California,8
2014,Colorado,5.1
2014,Connecticut,7.2
2014,Delaware,6.5
2014,District of Columbia,8.3
2014,Florida,6.8
2014,Georgia,7.9
2014,Hawaii,4.7
2014,Idaho,4.8
2014,Illinois,7.4
2014,Indiana,6.5
2014,Iowa,4.8
2014,Kansas,4.8
2014,Kentucky,6.8
2014,Louisiana,6.9
2014,Maine,6.2
2014,Maryland,6.2
2014,Massachusetts,6.1
2014,Michigan,7.6
2014,Minnesota,4.3
2014,Mississippi,8.4
2014,Missouri,6.8
2014,Montana,4.9
2014,Nebraska,3.5
2014,Nevada,8.4
2014,New Hampshire,4.5
2014,New Jersey,7.1
2014,New Mexico,7.6
2014,New York,6.9
2014,North Carolina,6.8
2014,North Dakota,3
2014,Ohio,6
2014,Oklahoma,5
2014,Oregon,7.4
2014,Pennsylvania,6.2
2014,Rhode Island,8.1
2014,South Carolina,7.1
2014,South Dakota,3.7
2014,Tennessee,7.1
2014,Texas,5.4
2014,Utah,4.2
2014,Vermont,4.5
2014,Virginia,5.5
2014,Washington,6.6
2014,West Virginia,7.1
2014,Wisconsin,5.8
2014,Wyoming,4.5
2015,Alabama,6.8
2015,Alaska,7.2
2015,Arizona,6.5
2015,Arkansas,5.6
2015,California,6.5
2015,Colorado,4
2015,Connecticut,6.1
2015,Delaware,5.4
2015,District of Columbia,7.3
2015,Florida,6
2015,Georgia,6.3
2015,Hawaii,4.1
2015,Idaho,4.4
2015,Illinois,6.4
2015,Indiana,5.1
2015,Iowa,3.7
2015,Kansas,4.6
2015,Kentucky,5.7
2015,Louisiana,6.7
2015,Maine,4.7
2015,Maryland,5.5
2015,Massachusetts,5.2
2015,Michigan,5.9
2015,Minnesota,4.1
2015,Mississippi,6.9
2015,Missouri,5.4
2015,Montana,4.4
2015,Nebraska,3.2
2015,Nevada,7.3
2015,New Hampshire,3.7
2015,New Jersey,6.2
2015,New Mexico,7.2
2015,New York,5.8
2015,North Carolina,6.4
2015,North Dakota,2.9
2015,Ohio,5.3
2015,Oklahoma,4.6
2015,Oregon,6.1
2015,Pennsylvania,5.5
2015,Rhode Island,6.2
2015,South Carolina,6.4
2015,South Dakota,3.7
2015,Tennessee,6.2
2015,Texas,4.8
2015,Utah,3.8
2015,Vermont,3.9
2015,Virginia,4.8
2015,Washington,6
2015,West Virginia,7.3
2015,Wisconsin,4.8
2015,Wyoming,4.3
2016,Alabama,6.4
2016,Alaska,7.2
2016,Arizona,5.5
2016,Arkansas,4.2
2016,California,5.7
2016,Colorado,3.4
2016,Connecticut,5.5
2016,Delaware,4.6
2016,District of Columbia,6.4
2016,Florida,5.4
2016,Georgia,5.8
2016,Hawaii,3.4
2016,Idaho,4
2016,Illinois,6.2
2016,Indiana,4.7
2016,Iowa,4.1
